,Player_ID,Name,YrStart,YrEnd,Pos,Height,Weight,Birth_date,College
1087,duranke01,Kevin Durant,2008,2018,F-G,6-9,240,"September 29, 1988",University of Texas at Austin
1088,durenjo01,John Duren,1981,1983,G,6-3,195,"October 30, 1958",Georgetown University
1089,durhaja01,Jarrett Durham,1972,1972,F,6-5,188,"August 22, 1949",Duquesne University
1090,durhapa01,Pat Durham,1993,1995,F,6-7,210,"March 10, 1967",Colorado State University
1091,durrade01,Devin Durrant,1985,1986,F,6-7,200,"October 20, 1960",Brigham Young University
1092,durreke01,Ken Durrett,1972,1975,F,6-7,190,"December 8, 1948",La Salle University
1093,duvalde01,Dennis DuVal,1975,1976,G,6-3,175,"March 31, 1952",Syracuse University
1094,dwanja01,Jack Dwan,1949,1949,F-G,6-4,200,"May 3, 1921",Loyola University of Chicago
1095,dykemcr01,Craig Dykema,1982,1982,F,6-8,190,"June 11, 1959","California State University, Long Beach"
1096,dykerge01,Gene Dyker,1954,1954,F,6-6,225,"February 17, 1930",DePaul University
1097,dysonje01,Jerome Dyson,2012,2012,G,6-3,180,"May 1, 1987",University of Connecticut
1098,eacklle01,Ledell Eackles,1989,1998,G-F,6-5,220,"November 24, 1966",University of New Orleans
1099,eakinji01,Jim Eakins,1969,1978,C,6-11,215,"May 24, 1946",Brigham Young University
1100,earlac01,Acie Earl,1994,1997,F-C,6-10,240,"June 23, 1970",University of Iowa
1101,earleed01,Ed Earle,1954,1954,F,6-3,190,"April 28, 1927",Loyola University of Chicago
1102,earlycl01,Cleanthony Early,2015,2016,F,6-8,210,"April 17, 1991",Wichita State University
1103,earlype01,Penny Early,1969,1969,G,5-3,114,"May 30, 1943",
1104,eatonma01,Mark Eaton,1983,1993,C,7-4,275,"January 24, 1957","University of California, Los Angeles"
1105,eavesje01,Jerry Eaves,1983,1987,G,6-4,180,"February 8, 1959",University of Louisville
1106,ebankde01,Devin Ebanks,2011,2013,F,6-9,215,"October 28, 1989",West Virginia University
1107,ebbenbi01,Bill Ebben,1958,1958,G,6-4,190,"October 7, 1935",University of Detroit Mercy
1108,eberhal01,Al Eberhard,1975,1978,F,6-6,225,"May 10, 1952",University of Missouri
1109,ebind01,Ndudi Ebi,2004,2005,F,6-9,200,"June 18, 1984",
1110,ebronro01,Roy Ebron,1974,1974,C,6-9,220,"August 31, 1951",University of Louisiana at Lafayette
1111,eddieja01,Jarell Eddie,2016,2018,G-F,6-7,218,"October 30, 1991",Virginia Polytechnic Institute and State University
1112,eddiepa01,Patrick Eddie,1992,1992,C,6-11,240,"December 27, 1967",University of Mississippi
1113,eddledi01,Dike Eddleman,1950,1953,F-G,6-3,189,"December 27, 1922",University of Illinois at Urbana-Champaign
1114,edelike01,Kenton Edelin,1985,1985,F,6-8,205,"May 24, 1962",University of Virginia
1115,edgech01,Charles Edge,1974,1975,F,6-6,210,"February 23, 1950",LeMoyne-Owen College
1116,edmonbo01,Bobby Edmonds,1968,1970,F,6-6,220,"March 8, 1941",Tennessee State University
1117,edmonke01,Keith Edmonson,1983,1984,G,6-5,195,"September 28, 1960",Purdue University
1118,edneyty01,Tyus Edney,1996,2001,G,5-10,152,"February 14, 1973","University of California, Los Angeles"
1119,edwarbi01,Bill Edwards,1994,1994,F,6-8,215,"September 22, 1971",Wright State University
1120,edwarbl01,Blue Edwards,1990,1999,G-F,6-4,200,"October 31, 1965",East Carolina University
1121,edwarco01,Corsley Edwards,2005,2005,F,6-9,275,"March 5, 1979",Central Connecticut State University
1122,edwardo01,Doug Edwards,1994,1996,F,6-7,220,"January 21, 1971",Florida State University
1123,edwarfr01,Franklin Edwards,1982,1988,G,6-1,170,"February 2, 1959",Cleveland State University
1124,edwarja01,James Edwards,1978,1996,C-F,7-0,225,"November 22, 1955",University of Washington
1125,edwarja02,Jay Edwards,1990,1990,G,6-4,185,"January 3, 1969",Indiana University
1126,edwarjo01,John Edwards,2005,2006,C,7-0,275,"July 31, 1981",Kent State University
1127,edwarke01,Kevin Edwards,1989,2001,G,6-3,190,"October 30, 1965",DePaul University
1128,edwarsh01,Shane Edwards,2014,2014,F,6-7,220,"May 31, 1987",University of Arkansas at Little Rock
1129,eganjo01,Johnny Egan,1962,1972,G,5-11,180,"January 31, 1939",Providence College
1130,egglelo01,Lonnie Eggleston,1949,1949,G,6-0,170,"June 8, 1918",Oklahoma State University
1131,ehlerbu01,Bulbs Ehlers,1948,1949,F-G,6-3,198,"March 10, 1923",Purdue University
1132,ehlocr01,Craig Ehlo,1984,1997,G-F,6-6,180,"August 11, 1961",Washington State University
1133,eichhdi01,Rich Eichhorst,1962,1962,G,6-3,200,"October 21, 1933",Southeast Missouri State University
1134,eisleho01,Howard Eisley,1995,2006,G,6-2,177,"December 4, 1972",Boston College
1135,ekeziob01,Obinna Ekezie,2000,2005,F-C,6-9,270,"August 22, 1975",University of Maryland
1136,elamikh01,Khalid El-Amin,2001,2001,G,5-10,200,"April 25, 1979",University of Connecticut
1137,eliasdo01,Don Eliason,1947,1947,F,6-2,210,"July 24, 1918",Hamline University
1138,eliema01,Mario Elie,1991,2001,G-F,6-5,210,"November 26, 1963",American International College
